description,artist,album,format,extra
"[SOLD OUT] OLD NICK ""Flying Ointment"" CD (alt cover, lim.25)",Old Nick,Flying Ointment,CD,"(alt cover, lim.25)"
"[SOLD OUT] QUAGMIRE Issue 2 zine (w/ cassette tape) [Kirkwood, Diplodocus, Midnight Odyssey, more]",,,,
"THANGORODRIM ""Towers of the Teeth"" vinyl LP (color)",Thangorodrim,Towers of the Teeth,Vinyl,(color)
"[SOLD OUT] BOLT THROWER ""Realm of Chaos"" vinyl LP",Bolt Thrower,Realm Of Chaos,Vinyl,
"[SOLD OUT] PAYSAGE D'HIVER ""Nacht"" CD Digibook",PAYSAGE D'HIVER,Nacht,CD,
"OLD NICK / HEX CLOCK ""Split"" vinyl LP [lim.300] (color, 2nd pressing)",OLD NICK / HEX CLOCK,Split,Vinyl,"[lim.300] (color, 2nd pressing)"
"[SOLD OUT] OUT OF SEASON ""Pocket Weapons"" T-Shirt",,,,
[SOLD OUT] DON'T BREAK THE OATH Logo Metal Enamel Pin,,,,
"[SOLD OUT] NEIGE ET NOIRCEUR ""Les Brumes Éternelles"" cassette tape (lim. 150)",,,,
"[SOLD OUT] CROMWORX ""Cromworx"" CD (digipak, lim.500) [Orkrist]",CROMWORX,Cromworx,CD,"(digipak, lim.500) [Orkrist]"
"[SOLD OUT] WOLCENSMEN ""Fire in the White Stone"" CD",WOLCENSMEN,Fire in the White Stone,CD,
"[SOLD OUT] ELFFOR ""Condemned to Wander"" CD  [Digipak]",Elffor,Condemned to Wander,CD,[Digipak]
"ANTI ""The Insignificance of Life"" Cassette Tape (lim.150)",,,,
"[SOLD OUT] CURTA'N WALL ""Curta'n Wall"" CD",CURTA'N WALL,Curta'n Wall,CD,
"[SOLD OUT] DIPLODOCUS ""Slow And Heavy - Tyrannic Edition"" Cassette Tape",,,,
"[SOLD OUT] OUT OF SEASON ""Weapons Logo + Text"" 4 inch stickers (set of 2)",,,,
"FORLORN KINGDOM / NACHTJÄGER ""Das Portal zum Bergreich"" Split vinyl LP (lim.150 w/insert)",FORLORN KINGDOM / NACHTJÄGER,Das Portal zum Bergreich,Vinyl,(lim.150 w/insert)
SEQUESTERED KEEP 3x Vinyl LPs Bundle,,,,
"[SOLD OUT] RUNESCAPE ""Original Soundtrack Classics"" 2xCD",RUNESCAPE,Original Soundtrack Classics,CD,
"[SOLD OUT] TOAD BLOOD ""Of Toad Blood And Frog Coffins"" cassette tape (lim.100)",,,,
"[SOLD OUT] CELTIC FROST ""Into the Pandemonium"" cassette tape",,,,
"[SOLD OUT] ICE AGES ""Strike the Ground"" CD (Summoning)",ICE AGES,Strike the Ground,CD,(Summoning)
"[SOLD OUT] LAMP OF MURMUUR ""Submission and Slavery"" CD [Digipak]",Lamp of Murmuur,Submission and Slavery,CD,[Digipak]
"[SOLD OUT] ERZFEYND ""Behaft Bekert"" CD (digipak w/ slipcase, numbered, lim.500)",Erzfeynd,Behaft Bekert,CD,"(digipak w/ slipcase, numbered, lim.500)"
"[SOLD OUT] VORONDA ""Blood & Sorcery / Reclaiming the Sign"" CD",VORONDA,Blood & Sorcery / Reclaiming the Sign,CD,
"[SOLD OUT] GOLDEN AXE I & II Video Game Soundtrack vinyl LP Deluxe (color, OBI + art prints)",,,,
"[SOLD OUT] SORT VOKTER ""Folkloric Necro Metal"" CD [hardcover digibook, lim.513] (Ildjarn)",Sort Vokter,Folkloric Necro Metal,CD,"[hardcover digibook, lim.513] (Ildjarn)"
"SANGUINE RELIC ""Blood On Old Altars In Remembrance"" vinyl LP",Sanguine Relic,Blood On Old Altars In Remembrance,Vinyl,
[SOLD OUT] V/A The Chronicle of the Order of the Weeping Willow 12xCD Box Set (w/booklet & badge),,,,
"JÄÄPORTIT ""Kauan Koskematon"" T-Shirt [BLACK]",,,,
"[SOLD OUT] FOGWEAVER ""Spellwind"" cassette tape (lim.150)",,,,
"[SOLD OUT] FORGOTTEN KINGDOMS ""A Kingdom in Ruin"" CD",Forgotten Kingdoms,A Kingdom in Ruin,CD,
"SOLSTICE PYRE ""The Sighting of Ethereal Dimension"" vinyl LP (color w/insert)",SOLSTICE PYRE,The Sighting of Ethereal Dimension,Vinyl,(color w/insert)
"[SOLD OUT] SKARPSEIAN ""Den første Gnister i Mørket"" Cassette Tape",,,,
"[SOLD OUT] ELDAMAR ""A Dark Forgotten Past"" Vinyl LP (color, lim. 199)",Eldamar,A Dark Forgotten Past,Vinyl,"(color, lim. 199)"
"[SOLD OUT] BOOK OF SKELOS ""Lo-Fi Sword and Sorcery"" T-Shirt [BLACK]",,,,
"[SOLD OUT] DIM LIGHTS ""Starspire"" Vinyl LP (color) [V-Khaoz]",DIM LIGHTS,Starspire,Vinyl,(color) [V-Khaoz]
"[SOLD OUT] ELMINSTER / LONE SENTINEL ""The Tome of Eternal Darkness"" Cassette Tape",,,,
"[SOLD OUT] ERYTHRITE THRONE ""Through Calignous Tombs..."" Deluxe Double Cassette Tape Set w/ patch [lim.100]",,,,
"[SOLD OUT] ELFFOR ""Unholy Throne Of Doom"" CD w/ Slipcase",Elffor,Unholy Throne Of Doom,CD,
"[SOLD OUT] VETRAHEIMR ""The Renegade"" CD [Digipak]",VETRAHEIMR,The Renegade,CD,[Digipak]
"[SOLD OUT] THRONE OF AHAZ ""Nifelheim"" CD [digipak] (lim.500)",THRONE OF AHAZ,Nifelheim,CD,[digipak] (lim.500)
"[SOLD OUT] CIMITIR ""Duskhymns"" Cassette Tape",,,,
"[SOLD OUT] EMPYRIUM ""Where At Night the Wood Grouse Plays"" CD (digipak)",EMPYRIUM,Where at Night the Wood Grouse Plays,CD,(digipak)
"[SOLD OUT] SUMMONING ""Lost Tales"" CD",SUMMONING,Lost Tales,CD,
"[SOLD OUT] FUNERAL ALTAR ""Funeral Altar"" CD (lim. 100) [digipak]",Funeral Altar,Funeral Altar,CD,(lim. 100) [digipak]
"[SOLD OUT] ERED WETHRIN ""Tides of War"" CD [digipak] (Caladan Brood)",Ered Wethrin,Tides of War,CD,[digipak] (Caladan Brood)
"[SOLD OUT] WINTAAR ""Into Darkness We Return"" CD [Digipak]",WINTAAR,Into Darkness We Return,CD,[Digipak]
"[SOLD OUT] LORD BELIAL ""Enter The Moonlight Gate"" vinyl LP (gatefold)",Lord Belial,Enter The Moonlight Gate,Vinyl,(gatefold)
"[SOLD OUT] MURMURIO ""Over the Stream of Negation"" cassette tape (stock copies from 2010)",,,,
"[SOLD OUT] BEHERIT ""Promo 1992"" Long Sleeve Shirt [Black w/ Metallic Blue Ink]",,,,
"VICTORIAN SPECTER ""Live in London"" Cassette Tape",,,,
"[SOLD OUT] EKTHELION ""Shadowrealms"" Cassette Tape",,,,
"[SOLD OUT] STERÖID ""Smoke Show"" vinyl 7"" EP [Lord Gordith / Quest Master]",STERÖID,Smoke Show,Vinyl,[Lord Gordith / Quest Master]
"[SOLD OUT] SADNESS ""Atna"" cassette tape (lim.50) [Trhä]",,,,
"WYTCH HAZEL ""Prelude"" vinyl LP (color)",WYTCH HAZEL,Prelude,Vinyl,(color)
"[SOLD OUT] SILENT THUNDER ""Usurping the Hall of Might and Splendour"" Cassette Tape (2nd edition)",,,,
"[SOLD OUT] BLOOD INCANTATION ""Starspawn"" CD",Blood Incantation,Starspawn,CD,
"[SOLD OUT] ARCTOS ""Beyond the Grasp of Mortal Hands"" vinyl LP (color, lim. 199)",ARCTOS,Beyond the Grasp of Mortal Hands,Vinyl,"(color, lim. 199)"
"[SOLD OUT] EMGLEV ""Dor An Tenvalijenn"" cassette tape (1994-1996 dungeon synth, lim.100)",,,,
"[SOLD OUT] LURKER OF CHALICE ""Tellurian Slaked Furnace"" CD",Lurker Of Chalice,Tellurian Slaked Furnace,CD,
"[SOLD OUT] ANCIENT IRON ""Ancient Iron I"" Lathe 7"" Vinyl (lim. 50, color)",ANCIENT IRON,Ancient Iron I,Vinyl,"(lim. 50, color)"
"[SOLD OUT] MALFET ""Live at Northeast Dungeon Siege MMXXI"" VHS Tape (lim.50, NTSC format)",,,,
"[SOLD OUT] SANGUINARIA ""Árias Sanguíneas"" cassette tape",,,,
"[SOLD OUT] SECRET STAIRWAYS ""Enchantment of the Ring"" Vinyl LP (Color)",SECRET STAIRWAYS,Enchantment Of The Ring,Vinyl,(Color)
"[SOLD OUT] LURKER OF CHALICE ""s/t"" CD",Lurker Of Chalice,s/t,CD,
"[SOLD OUT] WRAITH KNIGHT ""Deep in the Dungeons of the Dragonlord"" CD (lim.300)",WRAITH KNIGHT,Deep in the Dungeons of the Dragonlord,CD,(lim.300)
"[SOLD OUT] NINKHARSAG ""The Dread March of Solemn Gods"" vinyl LP",NINKHARSAG,The Dread March of Solemn Gods,Vinyl,
"[SOLD OUT] DEPARTURE CHANDELIER ""Antichrist Rise to Power"" CD",Departure Chandelier,Antichrist Rise To Power,CD,
"[SOLD OUT] ANADUNE ""The Days of Our Forefathers"" Cassette Tape (lim.50)",,,,
"[SOLD OUT] VIRULENT SPECTER ""The Black Temple of Omniscient Manipulation"" Cassette Tape",,,,
"[SOLD OUT] BLOOD INCANTATION ""Starspawn"" cassette tape",,,,
"MURGRIND ""The Fallen Kingdom"" CD (lim.500)",Murgrind,The Fallen Kingdom,CD,(lim.500)
"[SOLD OUT] LANDVAETTR ""Winterking's Lament"" Cassette Tape",,,,
"[SOLD OUT] SCHRECKEN ""Sinistre Weisheiten"" cassette tape",,,,
"[SOLD OUT] MONS VENERIS / SEANCE OF ""Split"" vinyl LP (lim.100, color)",Mons Veneris / Seance Of,Split,Vinyl,"(lim.100, color)"
"[SOLD OUT] VANISHING AMULET ""Nocturnal Heritage"" CD (lim. 50)",Vanishing Amulet,Nocturnal Heritage,CD,(lim. 50)
"OLD SORCERY ""Clandestine Meditation in Two Chapters"" CD [Digipak]",Old Sorcery,Clandestine Meditation in Two Chapters,CD,[Digipak]
"[SOLD OUT] AMPUTATION ""Slaughtered In The Arms Of God"" Cassette Tape (pre-Immortal)",,,,
"[SOLD OUT] GRANDMA'S COTTAGE ""Grandma's Cottage"" Vinyl LP",GRANDMA'S COTTAGE,Grandma's Cottage,Vinyl,
"[SOLD OUT] ELDAMAR ""The Force of the Ancient Land"" Vinyl 2xLP (double LP gatefold, color, lim. 199)",Eldamar,The Force of the Ancient Land,Vinyl,"(double LP gatefold, color, lim. 199)"
"[SOLD OUT] SHADOW DUNGEON ""For The Coming New Age of Darkness"" Patch",,,,
"[SOLD OUT] COMFY WIZARD ""...And The Pipe Smoking Hobbit Band"" Cassette Tape",,,,
"ELRIC ""The Eternal Champion"" vinyl LP (3 color options, w/poster)",ELRIC,The Eternal Champion,Vinyl,"(3 color options, w/poster)"
"[SOLD OUT] ARTHUROS ""From Stardust We Come"" 7"" flexi",Arthuros,From Stardust We Come,Vinyl,
"[SOLD OUT] ELDAMAR ""The Force of the Ancient Land"" cassette tape (lim.66, numbered)",,,,
"HERBSTLETHARGIE ""Melancholie im Blattfall"" CD (digipak, lim.500)",HERBSTLETHARGIE,Melancholie im Blattfall,CD,"(digipak, lim.500)"
"[SOLD OUT] MOONLIGHT SORCERY ""Piercing Throught the Frozen Eternity"" Vinyl LP (color)",Moonlight Sorcery,Piercing Throught the Frozen Eternity,Vinyl,(color)
"[SOLD OUT] BRAD FIEDEL ""The Terminator"" Film Soundtrack Double LP vinyl (color, 2xLP gatefold)",BRAD FIEDEL,The Terminator,Vinyl,"(color, 2xLP gatefold)"
"[SOLD OUT] MOURNFUL MOON ""Rose Velvet Dynasty"" cassette tape [Lim.150]",,,,
"[SOLD OUT] DARKTHRONE ""Transilvanian Hunger"" CD",Darkthrone,Transilvanian Hunger,CD,
"[SOLD OUT] GRANDMA'S CATACOMBS ""Grandma's Catacombs"" cassette tape",,,,
"[SOLD OUT] BOLT THROWER ""For Victory"" CD",Bolt Thrower,For Victory,CD,
"[SOLD OUT] MALFET ""The Way To Avalon"" vinyl LP (180g)",Malfet,The Way To Avalon,Vinyl,(180g)
[SOLD OUT] ÄKTH GÁNAHËTH “Crowned in Shadows” CD (digipak),ÄKTH GÁNAHËTH,Crowned in Shadows,CD,(digipak)
"[SOLD OUT] ELADOR ""The Last Journey"" Cassette Tape",,,,
"COVERED BRIDGES ""The Aurora"" vinyl LP (color, 180g)",COVERED BRIDGES,The Aurora,Vinyl,"(color, 180g)"
"[SOLD OUT] JÄÄPORTIT ""Kauan Koskematon / Halki Lumisen Metsän"" CD",JÄÄPORTIT,Kauan Koskematon / Halki Lumisen Metsän,CD,
"[SOLD OUT] OUBLIETH ""Mornelance"" Cassette Tape",,,,
"[SOLD OUT] CERNUNNOS WOODS ""Awaken the Empire of Dark Wood"" Cassette Tape",,,,
"[SOLD OUT] SOMME ""Somme"" vinyl LP (lim.300 w/ insert)",SOMME,Somme,Vinyl,(lim.300 w/ insert)
"FOGWEAVER ""Labyrinthine"" CD [Digipak, Lim.250]",Fogweaver,Labyrinthine,CD,"[Digipak, Lim.250]"
"[SOLD OUT] WINDTOWER ""Sins of Yore"" cassette tape (lim.50)",,,,
"[SOLD OUT] XASTHUR / CASKET OF DREAMS ""The Hallucination Tunnels"" CD",XASTHUR / CASKET OF DREAMS,The Hallucination Tunnels,CD,
"[SOLD OUT] GOBLINTROPP ""The Last March of the Goblin Troop"" Cassette Tape",,,,
"[SOLD OUT] LAMP OF MURMUUR ""Chasing The Path Of The Hidden Master"" vinyl LP (color)",Lamp of Murmuur,Chasing The Path Of The Hidden Master,Vinyl,(color)
"[SOLD OUT] LONGSWORD ""Divine Radiance I+II"" Cassette Tape (lim.100)",,,,
"[SOLD OUT] OLD NICK ""The Truest Spell"" 7"" vinyl EP (3 color options)",Old Nick,The Truest Spell,Vinyl,(3 color options)
"[SOLD OUT] CULT OF THAUMIEL ""Palaces of Iniquity"" vinyl LP (lim. 250)",Cult of Thaumiel,Palaces of Iniquity,Vinyl,(lim. 250)
"CURTA'N WALL ""Siege Ubsessed"" vinyl LP (3 color options, 180g)",CURTA'N WALL,Siege Ubsessed,Vinyl,"(3 color options, 180g)"
"OUBLIETH ""Uren Vell"" Cassette Tape (lim.200)",,,,
"[SOLD OUT] SEQUESTERED KEEP ""Dark Age Visions"" Cassette Tape",,,,
"[SOLD OUT] TORCHLIGHT ""Witchcraft"" Cassette Tape",,,,
QUEST MASTER Sticker Pack (set of 7),,,,
"[SOLD OUT] SIVYJ YAR ""Burial Shrouds"" Vinyl LP (lim. 100) [Сивый Яр]",SIVYJ YAR,Burial Shrouds,Vinyl,(lim. 100) [Сивый Яр]
"[SOLD OUT] CIMERION ""Vers la Montagne Noire"" Cassette Tape",,,,
"[SOLD OUT] WARLOCK CORPSE (Труп Колдуна) ""Returning to Dungeons"" CD [digipak]",WARLOCK CORPSE (Труп Колдуна),Returning to Dungeons,CD,[digipak]
SUPER FAMICOM: THE BOX ART COLLECTION Deluxe Hardcover book,,,,
"[SOLD OUT] KAR'A'KARN ""When The Last Time Comes"" cassette tape",,,,
"[SOLD OUT] DEPRESSIVE SILENCE ""The Darkened Empires"" CD (Lim. 300)",Depressive Silence,The Darkened Empires,CD,(Lim. 300)
"NOCTURNAL EFFIGY ""Nocturnal Effigy"" CD (digipak)",Nocturnal Effigy,Nocturnal Effigy,CD,(digipak)
"[SOLD OUT] VIRULENT SPECTER ""The Black Temple of Omniscient..."" CD [Digipak]",Virulent Specter,The Black Temple of Omniscient...,CD,[Digipak]
"[SOLD OUT] OUBLIETH ""Par-Delà la Forêt des Esprits Égarés"" Cassette Tape",,,,
"[SOLD OUT] MESARTHIM ""CLG J02182–05102"" vinyl LP (color, lim.200)",Mesarthim,CLG J02182-05102,Vinyl,"(color, lim.200)"
"[SOLD OUT] GODKILLER ""The Rebirth of the Middle Ages"" CD",Godkiller,The Rebirth of the Middle Ages,CD,
"[SOLD OUT] NECROMANTIC WORSHIP ""Rites of Resurrection"" CD",Necromantic Worship,Rites of Resurrection,CD,
"[SOLD OUT] CIMITIR ""Duskhymns"" Long Sleeve Shirt [BLACK]",,,,
GOTHMOG Metal Enamel Pin (Black/White or Silver/Black),,,,
"[SOLD OUT] SCEPTRE OF THE FADING DAWN ""Wandering In Lands Unseen"" CD",Sceptre Of The Fading Dawn,Wandering in Lands Unseen,CD,
"OUT OF SEASON ""Weapons"" Embroidered Beanie Winter Hats [various colorways]",,,,
"[SOLD OUT] EQUIMANTHORN ""Entrance To The Ancient Flame"" CD",Equimanthorn,Entrance To The Ancient Flame,CD,
"[SOLD OUT] PAYSAGE D'HIVER ""Kerker"" Vinyl LP",PAYSAGE D'HIVER,Kerker,Vinyl,
"[SOLD OUT] WITCHSTEEL ""Mountain Of The Red Flame"" Cassette Tape",,,,
[SOLD OUT] KUKA'ILIMOKU / EBONY PENDANT Split Cassette Tape,,,,
"[SOLD OUT] SEQUESTERED KEEP ""The Fortress in the Timeless Fog"" Cassette Tape",,,,
"[SOLD OUT] QUEST MASTER ""Lost Songs Vol. 2"" Long Sleeve Shirt [BLACK]",,,,
"[SOLD OUT] SILENCER ""Death, Pierce Me"" vinyl LP (gatefold, color)",SILENCER,"Death, Pierce Me",Vinyl,"(gatefold, color)"
"[SOLD OUT] EVILFEAST ""Lost Horizons of Wisdom"" vinyl 2xLP (gatefold)",Evilfeast,Lost Horizons of Wisdom,Vinyl,(gatefold)
"[SOLD OUT] IMMORTAL ""Blizzard Beasts"" vinyl LP (gatefold, color)",Immortal,Blizzard Beasts,Vinyl,"(gatefold, color)"
"[SOLD OUT] SUMMONING ""Minas Morgul"" CD",SUMMONING,Minas Morgul,CD,
[SOLD OUT] LONE SENTINEL woven patch (black/white),,,,
"[SOLD OUT] LAMP OF MURMUUR ""Saturnian Bloodstorm"" T-Shirt [BLACK]",,,,
"[SOLD OUT] EKTHELION ""Under a Mournful Moon"" Cassette Tape",,,,
"NÄCHTLICH ""Howling Depths Rehearsal"" CD (lim.200)",NÄCHTLICH,Howling Depths Rehearsal,CD,(lim.200)
"FOGWEAVER ""Vedurnan"" CD [Digipak]",Fogweaver,Vedurnan,CD,[Digipak]
"[SOLD OUT] ALAN HOWARTH ""Live at Hollywood Theatre"" vinyl LP (Lim 500)",ALAN HOWARTH,Live at Hollywood Theatre,Vinyl,(Lim 500)
"[SOLD OUT] OUT OF SEASON ""Logo"" snapback hat (unstructured) [Yupoong classic]",,,,
SECLUDED ALCHEMIST Deluxe Discography 4xCassette Tape Boxset,,,,
"[SOLD OUT] V/A ""La Garde Noire"" (w/ Atruim Malum, Mörmoo, etc) CD [Digipak]",V/A,La Garde Noire,CD,[Digipak]
"[SOLD OUT] DEPRESSIVE SILENCE ""I"" CD (digipak, lim.500)",Depressive Silence,I,CD,"(digipak, lim.500)"
"VORVADOSS / MAGIC FIND ""Utterances and Arcana"" Double CD [2xCD digipak]",Vorvadoss / Magic Find,Utterances and Arcana,CD,[2xCD digipak]
VANISHING AMULET LP + T-SHIRT BUNDLE,,,,
"WARLOCK CORPSE ""Leaving This Rotten World"" CD (lim.50)",Warlock Corpse,Leaving this Rotten World,CD,(lim.50)
"[SOLD OUT] GRIMRIK ""Eisreich"" Vinyl LP",GRIMRIK,Eisreich,Vinyl,
"[SOLD OUT] SECRET STAIRWAYS ""Secret Stairways"" 2xCD (double CD digipak, lim.200)",SECRET STAIRWAYS,Secret Stairways,CD,"(double CD digipak, lim.200)"
"[SOLD OUT] MORKETSVIND ""Book of Tales"" CD [Digipak]",Morketsvind,Book of Tales,CD,[Digipak]
"[SOLD OUT] RINGBEARER ""The Way Is Shut"" CD (2009 stock copies)",Ringbearer,The Way Is Shut,CD,(2009 stock copies)
"[SOLD OUT] KOMMODUS / VALAC ""Eclipsing Honour & Decay"" Cassette Tape",,,,
"[SOLD OUT] WALTER RIZZATI ""House by the Cemetery"" OST Cassette Tape (Quella Villa Accanto Al Cimitero)",,,,
"[SOLD OUT] VAELASTRASZ / CONIFEROUS MYST ""Sacrifices of Fire & Ice"" Split CD (lim. 50)",Vaelastrasz / Coniferous Myst,Sacrifices of Fire & Ice,CD,(lim. 50)
"[SOLD OUT] DARKEN WOOD ""VI"" Vinyl LP (Lim. 100)",DARKEN WOOD,VI,Vinyl,(Lim. 100)
"[SOLD OUT] TALES UNDER THE OAK ""The Toad Folk"" Cassette Tape",,,,
"[SOLD OUT] SNOWY HILL HOUSE ""My House/Under the Stars"" Cassette Tape",,,,
"[SOLD OUT] CANDELABRUM ""Nocturnal Trance"" CD",Candelabrum,Nocturnal Trance,CD,
CASKET OF DREAMS Logo woven patch,,,,
"[SOLD OUT] SCHEMER HEER ""The Dragon, His Angels And The Exaltation Of Death"" Cassette Tape",,,,
"[SOLD OUT] ARBOGLITH ""Promo Tape 2019"" Cassette Tape",,,,
"[SOLD OUT] EQUIMANTHORN ""Entrance to the Ancient Flame"" (1992) Cassette Tape",,,,
"[SOLD OUT] FOGLORD ""Tales from the Woods"" Cassette Tape",,,,
"[SOLD OUT] PHANTOM SPIRE ""Our Heaven Amongst The Stars"" vinyl LP (lim.100)",PHANTOM SPIRE,Our Heaven Amongst The Stars,Vinyl,(lim.100)
"[SOLD OUT] ATLANTEAN SWORD ""All is Dust"" Cassette Tape (lim.50)",,,,
"[SOLD OUT] GUARDIANSORROW ""Ancient Fortresses Of Despair"" Cassette Tape",,,,
"JIM KIRKWOOD ""Where Shadows Lie"" T-Shirt [WHITE or BLACK]",,,,
"[SOLD OUT] HAPPY MOON ""Moon's Day Out"" cassette tape (lim.60)",,,,
"[SOLD OUT] MONARQUE ""Jusqu'à la Mort"" Cassette Tape",,,,
"[SOLD OUT] OBSKURITATEM ""Pro Officio Mortuorum"" vinyl LP",Obskuritatem,Pro Officio Mortuorum,Vinyl,
"[SOLD OUT] LUGUBRIOUS CHANT ""Macabre Aurae"" Cassette Tape",,,,
"[SOLD OUT] OLD SORCERY ""Clandestine Meditation in Two Chapters"" vinyl LP (gatefold)",Old Sorcery,Clandestine Meditation in Two Chapters,Vinyl,(gatefold)
"BILWIS ""Pan"" CD (digipak)",BILWIS,Pan,CD,(digipak)
[SOLD OUT] ELMINSTER woven patch (black/white),,,,
"[SOLD OUT] BOLT THROWER ""War Master"" CD [digipak]",Bolt Thrower,War Master,CD,[digipak]
"[SOLD OUT] DEPRESSIVE SILENCE ""II: The Darkened Empires"" vinyl LP (clear, w/ insert)",Depressive Silence,II: The Darkened Empires,Vinyl,"(clear, w/ insert)"
"[SOLD OUT] ELFFOR ""Dra Sad I-III: The Trilogy"" 3xCD (Lim. 111)",Elffor,Dra Sad I-III: The Trilogy,CD,(Lim. 111)
"[SOLD OUT] CURSED MIDNIGHT ""Tenebrae In Perpetuum"" Cassette Tape",,,,
"[SOLD OUT] NAHADOTH ""Faces Of Winter Redux"" Cassette Tape (lim.150)",,,,
"[SOLD OUT] DWARROWDELF ""From Beneath the Fells"" Cassette Tape",,,,
"[SOLD OUT] SHIMLA ""Land of the Seven Hills"" CD [lim.150, शिमला]",SHIMLA,Land of the Seven Hills,CD,"[lim.150, शिमला]"
"[SOLD OUT] CALDERUM ""The Quest into the Darkness Realm"" Cassette Tape",,,,
"[SOLD OUT] SIEGE GOLEM ""Rises Above the Walls"" cassette tape",,,,
"[SOLD OUT] HEKSEBLAD ""The Fall of Cintra"" CD",HEKSEBLAD,The Fall of Cintra,CD,
"[SOLD OUT] REVENANT MARQUIS ""Pitiless Black Emphasis"" Cassette Tape",,,,
"[SOLD OUT] CALADAN BROOD ""Echoes of Battle"" Tank Top Shirt [WHITE]",,,,
"[SOLD OUT] MORT GARSON ""Journey to the Moon and Beyond"" vinyl LP (color)",MORT GARSON,Journey to the Moon and Beyond,Vinyl,(color)
"[SOLD OUT] MOONLIGHT SORCERY ""Horned Lord of the Thorned Castle"" Deluxe Vinyl LP (color, foil stamped gatefold w/ huge booklet)",Moonlight Sorcery,Horned Lord of the Thorned Castle,Vinyl,"(color, foil stamped gatefold w/ huge booklet)"
"[SOLD OUT] OUT OF SEASON ""Lyre"" logo Metal Enamel Pin",,,,
"[SOLD OUT] OLD NICK ""Witch Lymph"" CD [lim.100, DVD case w/ insert]",Old Nick,Witch Lymph,CD,"[lim.100, DVD case w/ insert]"
"[SOLD OUT] HILLSFAR ""Raiders on the Moonsea"" Cassette Tape",,,,
"[SOLD OUT] BLOOD MAGIC ""Goetic Blood Spells"" Cassette Tape (lim.75)",,,,
"[SOLD OUT] ELMINSTER ""Standing At The Gates Of Night"" Cassette Tape",,,,
"[SOLD OUT] NANSARUNAI ""Ultimul Rege"" vinyl LP",Nansarunai,Ultimul Rege,Vinyl,
"THANGORODRIM ""Gil Estel"" CD",Thangorodrim,Gil Estel,CD,
"TRUE IRON WILL ""True Iron Will"" CD",True Iron Will,True Iron Will,CD,
"QUEST MASTER ""Sword and Circuitry"" T-Shirt [BLACK]",,,,
"[SOLD OUT] TROLLMANN AV ILDTOPPBERG ""As The Fog Clears But For A Moment..."" Cassette Tape",,,,
"[SOLD OUT] AHULABRUM ""Strange Lights Portend Their Presence"" vinyl LP",AHULABRUM,Strange Lights Portend Their Presence,Vinyl,
"[SOLD OUT] MIDNIGHT BETROTHED ""Death... My Faithful Bride"" Cassette Tape",,,,
"[SOLD OUT] ELDAMAR ""A Dark Forgotten Past"" CD",Eldamar,A Dark Forgotten Past,CD,
"[SOLD OUT] LICH LORD ""Orchish Skeleton Warrior"" cassette tape",,,,
[SOLD OUT] MATTIMEO by Brian Jacques (paperback book),,,,
"[SOLD OUT] FORGOTTEN SWORD ""Final Journey"" Cassette Tape",,,,
"[SOLD OUT] SNOWSPIRE ""Firn-Treader Compendium"" cassette tape [Fogweaver]",,,,
"[SOLD OUT] BLOODY KEEP ""Bloody Horror / Cup Of Blood"" vinyl LP (180g)",BLOODY KEEP,Bloody Horror / Cup Of Blood,Vinyl,(180g)
"VICTORIAN SPECTER ""The Sower in Open Fields"" Vinyl LP (2 color options)",VICTORIAN SPECTER,The Sower in Open Fields,Vinyl,(2 color options)
"[SOLD OUT] CALADAN BROOD ""Echoes of Battle"" cassette tape",,,,
"[SOLD OUT] FFLEWDDUR ""Farther Down We Go"" cassette tape (lim.50)",,,,
"[SOLD OUT] AGALLOCH ""Ashes Against The Grain"" Vinyl 2xLP (Color, Gatefold)",AGALLOCH,Ashes Against The Grain,Vinyl,"(Color, Gatefold)"
"PUTRID MARSH / WARPED SKULL ""Demos Collection"" Double CD [2xCD digipak]",Putrid Marsh / Warped Skull,Demos Collection,CD,[2xCD digipak]
"[SOLD OUT] FOGLORD ""New Realms...""  Long Sleeve Shirt [BLACK]",,,,
"[SOLD OUT] GRAVE PILGRIM ""Grave Pilgrim"" vinyl LP (lim.200)",GRAVE PILGRIM,Grave Pilgrim,Vinyl,(lim.200)
"[SOLD OUT] MORTIIS ""Keiser av en Dimensjon Ukjent"" CD (A5 Digipak)",Mortiis,Keiser av en Dimensjon Ukjent,CD,(A5 Digipak)
"[SOLD OUT] YSBRYDNOS/SOURCERIOR ""Exorcism by Knife"" Split Cassette Tape",YSBRYDNOS/SOURCERIOR,Exorcism by Knife,Cassette,
"COMFY WIZARD ""Wizards, Gnomes, Elves & Tombs"" vinyl LP (w/ OBI)",COMFY WIZARD,"Wizards, Gnomes, Elves & Tombs",Vinyl,(w/ OBI)
"[SOLD OUT] WORM ""Gloomlord"" CD",Worm,Gloomlord,CD,
"[SOLD OUT] ANGSTLOCH ""The Shades of Pale Night"" vinyl LP (lim.50, w/insert)",ANGSTLOCH,The Shades of Pale Night,Vinyl,"(lim.50, w/insert)"
"[SOLD OUT] FAIDRA ""Militant : Penitent : Triumphant"" Vinyl LP (color)",Faidra,Militant : Penitent : Triumphant,Vinyl,(color)
DIMINISHING SPIRIT / VAMPYRIC WINTER Split vinyl LP [KLANEN],,,,
"[SOLD OUT] MAGIC FIND ""Then Thou..."" cassette tape [Lim.200]",,,,
