description,artist,album,format,extra
"Kuro ""Complete Hardcore Damnation"" LP | Vinyl",Kuro,Complete Hardcore Damnation,Vinyl,
"Draconem Crowned ""Majesty and Sorrow in the Spirit of Serpent"" LP | Vinyl",Draconem Crowned,Majesty and Sorrow in the Spirit of Serpent,Vinyl,
"Murg ""Strävan"" MC | Cassette",Murg,Strävan,Cassette,
"Mephistofeles ""Whore"" CD | CD",Mephistofeles,Whore,CD,
"Walghinge ""'t Bloed Kruipt..."" Demo | Cassette",Walghinge,'t Bloed Kruipt...,Cassette,
"Erzfeynd / Rraaumm Split 7"" | Vinyl",,,,
"Beyond Death's Throne ""Haphazard Ethos"" LP | Vinyl",Beyond Death's Throne,Haphazard Ethos,Vinyl,
"Desgranges / Black Putrescence ""Threshold Consciousness"" Split 7"" (GoatowaRex) | Vinyl",Desgranges / Black Putrescence,Threshold Consciousness,Vinyl,
"Wilczyca ""DrakoNequissime"" MC | Cassette",Wilczyca,DrakoNequissime,Cassette,
"Azketem ""Azetik"" LP | Vinyl",Azketem,Azetik,Vinyl,
"Wolfmachine ""Wolfmachine"" LP | Vinyl",Wolfmachine,Wolfmachine,Vinyl,
"Asocial / Bedrövlers ""How Could Hardcore Be Any Worse"" Split LP | Vinyl",Asocial / Bedrövlers,How Could Hardcore Be Any Worse,Vinyl,
"Ohtar ""Emptiness"" LP | Vinyl",Ohtar,Emptiness,Vinyl,
"Sentient Divide ""Haunted by Cruelty"" LP | Vinyl",Sentient Divide,Haunted by Cruelty,Vinyl,
"Korpituli ""The Ancient Spells Of The Past"" Digipak CD | CD",Korpituli,The Ancient Spells Of The Past,CD,
"Impaled Nazarene ""Ugra - Karma"" LP (2022 Press) | Vinyl",Impaled Nazarene,Ugra - Karma,Vinyl,
"Inthyflesh ""The Flaming Death"" Double MC | Cassette",Inthyflesh,The Flaming Death,Cassette,
"Sacrilege (Sweden) ""My Ghost Malign"" 3 x LP Boxset | Vinyl",Sacrilege (Sweden),My Ghost Malign,Vinyl,
"Dead Monuments ""Dead Monuments"" CD | CD",Dead Monuments,Dead Monuments,CD,
"Diaboli ""Awakening Of Nordic Storm"" LP | Vinyl",Diaboli,Awakening Of Nordic Storm,Vinyl,
"StarGazer ""Bound by Spells"" CD | CD",StarGazer,Bound by Spells,CD,
Botulistum / Göll Split CD | CD,,,,
"Bloody Sign / Rademassaker ""Rhythms Of Carnage"" Split 7"" | Vinyl",Bloody Sign / Rademassaker,Rhythms Of Carnage,Vinyl,
V/A Five Continents of Barbaric Hordes and Storming Hatred LP | Vinyl,,,,
"CRYPTIC SHIFT ""Visitations From Enceladus"" Picture LP | Vinyl",Cryptic Shift,Visitations From Enceladus,Vinyl,
"Wargasm ""Ugly"" Double LP | Vinyl",Wargasm,Ugly,Vinyl,
"Malicious ""Deranged Hexes"" LP | Vinyl",Malicious,Deranged Hexes,Vinyl,
"Deathly Scythe ""Celestial Darkness"" LP | Vinyl",Deathly Scythe,Celestial Darkness,Vinyl,
"Heptomancy ""Ego Svm Radix Et Templvm Lvciferi"" LP | Vinyl",Heptomancy,Ego Svm Radix Et Templvm Lvciferi,Vinyl,
"The Searing ""A.T.A.V.I.S.M."" Digipak CD | CD",The Searing,A.T.A.V.I.S.M.,CD,
"Sāriġ ""The Misery Of Company"" Demo | Cassette",Sāriġ,The Misery Of Company,Cassette,
"Next ""... Y Los Restos"" MC | Cassette",Next,... Y Los Restos,Cassette,
"Draugsól ""Volaða Land"" Digipak CD | CD",Draugsól,Volaða Land,CD,
"Antipathic ""Humanimals"" CD | CD",Antipathic,Humanimals,CD,
"Nox Pestes ""Kraft der Elemente"" CD | CD",Nox Pestes,Kraft der Elemente,CD,
"Black Magick SS ""Hidden in Plain Sight"" LP | Vinyl",Black Magick SS,Hidden in Plain Sight,Vinyl,
"Mortem (Peru) ""Demon Tales"" LP (German Pressing) | Vinyl",Mortem (Peru),Demon Tales,Vinyl,
"Wóddréa Mylenstede ""Raw Rehearsals"" Double LP | Vinyl",Wóddréa Mylenstede,Raw Rehearsals,Vinyl,
"The Syre / Audiopain Split Brown Vinyl 7"" (Lim to 100) | Vinyl",,,,
"Harda Skit ""Ros Rus"" Digipak CD | CD",Harda Skit,Ros Rus,CD,
"Hiverna ""II.Macabre"" LP | Vinyl",Hiverna,II.Macabre,Vinyl,
"Malhkebre ""Prostration"" CD | CD",Malhkebre,Prostration,CD,
"Acherontas / Slidhr "" Death of the Ego / Chains of the Fallen"" Split LP | Vinyl",Acherontas / Slidhr, Death of the Ego / Chains of the Fallen,Vinyl,
"Mephorash ""Sfaíra Ti̱s Fo̱tiás"" Digipak CD | CD",Mephorash,Sfaíra Ti̱s Fo̱tiás,CD,
"AB Hjarntvatt / Disaccord ""Tape Collection"" LP | Vinyl",AB Hjarntvatt / Disaccord,Tape Collection,Vinyl,
"Veternus ""Awaken the Grave"" 7"" | Vinyl",Veternus,Awaken the Grave,Vinyl,
V/A Non Con CDR | CD,,,,
"Malfet ""Alban Arthan"" LP | Vinyl",Malfet,Alban Arthan,Vinyl,
"Disforterror ""Unholy Attack Of Malefic Kreation... Satan's March"" Demo | Cassette",Disforterror,Unholy Attack Of Malefic Kreation... Satan's March,Cassette,
"Sabbat ""Sabbatical Rites"" LP (80's EP Collection) | Vinyl",Sabbat,Sabbatical Rites,Vinyl,
"Thunderdome ""The Man of Rolling Thunder"" MLP | Vinyl",Thunderdome,The Man of Rolling Thunder,Vinyl,
"Stangarigel ""Metafyzika Barbarstva"" MLP | Vinyl",Stangarigel,Metafyzika Barbarstva,Vinyl,
"Dridge ""Ruby"" Demo | Cassette",Dridge,Ruby,Cassette,
"Some Dead Bodies ""Monolith"" LP | Vinyl",Some Dead Bodies,Monolith,Vinyl,
"Retentum Curiae ""Ar Meggido 20(6/6/6) EV"" LP | Vinyl",Retentum Curiae,Ar Meggido 20(6/6/6) EV,Vinyl,
"Sadistic Lingam Cult / Sexmord Split 7"" | Vinyl",,,,
"Black Oath ""Portrait of the Dead"" 7"" | Vinyl",Black Oath,Portrait of the Dead,Vinyl,
"Erebus Enthroned ""Temple Under Hell"" CD | CD",Erebus Enthroned,Temple Under Hell,CD,
"Plasmodulated ""Plasmodulated"" CD | CD",Plasmodulated,Plasmodulated,CD,
"Demonic Rage ""Omen of Doom"" CD | CD",Demonic Rage,Omen of Doom,CD,
"Stilla ""Synviljor"" LP | Vinyl",Stilla,Synviljor,Vinyl,
"Finnentum ""Reveries"" LP | Vinyl",Finnentum,Reveries,Vinyl,
"Unlegacy / Belfegore ""The First Insult From The South"" Split MC | Cassette",Unlegacy / Belfegore,The First Insult From The South,Cassette,
"Obsidian Sea “Dreams, Illusions, Obsessions” LP | Vinyl",Obsidian Sea,"Dreams, Illusions, Obsessions",Vinyl,
"Sahara ""III: Hell on Earth"" MC | Cassette",Sahara,III: Hell on Earth,Cassette,
Trhä / Misotheismus Split LP | Vinyl,,,,
"Mercyless Hammer ""Demo MMXXII"" Demo | Cassette",Mercyless Hammer,Demo MMXXII,Cassette,
"Hacaeahe Iipeakob ""Ceephar Ctpaha"" Demo | Cassette",Hacaeahe Iipeakob,Ceephar Ctpaha,Cassette,
"Ebony Pendant / Kūka'ilimoku ""The Ve / Giftin Unto Maoli Born"" Split LP | Vinyl",Ebony Pendant / Kūka'ilimoku,The Ve / Giftin Unto Maoli Born,Vinyl,
"Cerimônia ""...Combustão conflagração desolação..."" LP | Vinyl",Cerimônia,...Combustão conflagração desolação...,Vinyl,
"Ride For Revenge / Satanic Torment Split 7"" | Vinyl",,,,
"Wolfsblood ""Vomit & Lice"" LP | Vinyl",Wolfsblood,Vomit & Lice,Vinyl,
"Warhate ""Thrash Invasion"" Double LP + Booklet | Vinyl",Warhate,Thrash Invasion,Vinyl,
"Slough of Despair ""Catacombs Of Terror"" CD | CD",Slough of Despair,Catacombs Of Terror,CD,
"Destruction ""Mad Butcher / Sentence Of Death"" Picture LP | Vinyl",Destruction,Mad Butcher / Sentence Of Death,Vinyl,
"Bran ""Odcházení"" LP | Vinyl",Bran,Odcházení,Vinyl,
"Kalmankantaja ""Demonwoods"" Digipak CD | CD",Kalmankantaja,Demonwoods,CD,
"Kalmankantaja ""Waiennut"" MC | Cassette",Kalmankantaja,Waiennut,Cassette,
"Bahratal ""Kladivo Intolerance"" LP | Vinyl",Bahratal,Kladivo Intolerance,Vinyl,
"Youssouf Today ""Youssouf Today"" 7"" | Vinyl",Youssouf Today,Youssouf Today,Vinyl,
"Necrophoros ""Summon the Power of Primal Darkness"" Demo | Cassette",Necrophoros,Summon the Power of Primal Darkness,Cassette,
"Tiamat ""Sumerian Cry"" CD | CD",Tiamat,Sumerian Cry,CD,
"AC/DC ""Nutcrackers 3"" 7"" | Vinyl",AC/DC,Nutcrackers 3,Vinyl,
"Dresden ""Too Many Skeletons"" CD | CD",Dresden,Too Many Skeletons,CD,
"Vacuous ""Dreams of Dysphoria"" LP | Vinyl",Vacuous,Dreams Of Dysphoria,Vinyl,
Herald Ov Wizborg / Ceremonial Crypt Desecration Split Demo | Cassette,,,,
"Dysylumn ""Chaos Primordial"" Digipak CD | CD",Dysylumn,Chaos Primordial,CD,
"Inoculation ""Anatomize"" MCD | CD",Inoculation,Anatomize,CD,
"Nächtlich ""Satanas Solum Initium Est"" MC | Cassette",Nächtlich,Satanas Solum Initium Est,Cassette,
"Ritual Clearing ""Penitence"" LP | Vinyl",Ritual Clearing,Penitence,Vinyl,
"Wulkanaz ""Paúrpura Fræovíbôkôs"" CD | CD",Wulkanaz,Paúrpura Fræovíbôkôs,CD,
"Ævangelist ""De Masticatione Mortuorum in Tumulis"" DLP | Vinyl",Ævangelist,De Masticatione Mortuorum in Tumulis,Vinyl,
Magnit (Магнит) “Dies Iraeа (День Гнев)” Test Press LP | Vinyl,Magnit (Магнит),Dies Iraeа (День Гнев),Vinyl,
"Stench Collector / Seep Split 7"" | Vinyl",,,,
"Dauþuz (Dauthuz) ""Vom schwarzen Schmied: Bergkgesænge"" Double LP (Clean Vocals Version) | Vinyl",Dauþuz (Dauthuz),Vom schwarzen Schmied: Bergkgesænge,Vinyl,
"Zhmach ""Euphoria Never Leaves"" 7"" | Vinyl",Zhmach,Euphoria Never Leaves,Vinyl,
"Maniac Butcher ""Live in Open Hell"" LP | Vinyl",Maniac Butcher,Live in Open Hell,Vinyl,
"Saturnian Mist ""Chaos Magick"" CD | CD",Saturnian Mist,Chaos Magick,CD,
"Øksehovud ""Makt, Høyhet, Herredømme"" LP | Vinyl",Øksehovud,"Makt, Høyhet, Herredømme",Vinyl,
"Fiend ""Black Abhorrance Metal"" CD | CD",Fiend,Black Abhorrance Metal,CD,
"Mütiilation ""New False Prophet"" 7"" | Vinyl",Mütiilation,New False Prophet,Vinyl,
"Hate Meditation ""Scars"" Digipak CD | CD",Hate Meditation,Scars,CD,
"Isänmaa ""Yli Peltojen, Vetten Ja Tunturien"" Black Vinyl 7"" (Impaled Nazarene Related) | Vinyl",Isänmaa,"Yli Peltojen, Vetten Ja Tunturien",Vinyl,
"In Obscurity Revealed ""Glorious Impurity"" LP | Vinyl",In Obscurity Revealed,Glorious Impurity,Vinyl,
"Erection House ""Feels of Correction"" LP | Vinyl",Erection House,Feels of Correction,Vinyl,
"Vader ""Live in Decay"" LP | Vinyl",Vader,Live in Decay,Vinyl,
Helios Fundraiser - 500 LPs Package | Vinyl,,,,
"Krisiun ""Works of Carnage"" CD | CD",Krisiun,Works of Carnage,CD,
"Do Skonu ""...And Darkness was over the Surface of the Deep"" Digipak CD | CD",Do Skonu,...And Darkness was over the Surface of the Deep,CD,
"Drama Noir ""A Necromancy Lore"" MC | Cassette",Drama Noir,A Necromancy Lore,Cassette,
"Pile of Excrements ""Escatology"" CD | CD",Pile of Excrements,Escatology,CD,
"Agatus ""Gilgamesh"" 7"" | Vinyl",Agatus,Gilgamesh,Vinyl,
"Wagner Ödegård ""Ki​ä​pter"" Digipak CD | CD",Wagner Ödegård,Ki​ä​pter,CD,
"Dawn Of Azazel ""Bloodforged Abdication"" 7"" | Vinyl",Dawn Of Azazel,Bloodforged Abdication,Vinyl,
"Dawn of Crucifixion ""A.M.S.G."" Demo | Cassette",Dawn of Crucifixion,A.M.S.G.,Cassette,
"Dai ""The Advent"" CD | CD",Dai,The Advent,CD,
"Jordfäst ""Av Stoft"" CD | CD",Jordfäst,Av Stoft,CD,
"Caligula ""Technical Aggression"" LP | Vinyl",Caligula,Technical Aggression,Vinyl,
"Colony Drop ""Brace For Impact"" LP | Vinyl",Colony Drop,Brace For Impact,Vinyl,
"Poprava ""Supredator"" CD | CD",Poprava,Supredator,CD,
"Meyhnach ""Miseria de Profundis"" LP (Mutiilation) | Vinyl",Meyhnach,Miseria de Profundis,Vinyl,
"Belial ""Never Again"" LP | Vinyl",Belial,Never Again,Vinyl,
"Antechristus ""Waste The Flesh As Reluctance Grows"" Demo | Cassette",Antechristus,Waste The Flesh As Reluctance Grows,Cassette,
"Metalucifer ""Heavy Metal Drill"" CD | CD",Metalucifer,Heavy Metal Drill,CD,
"Crematron Double ""Remote Controlled Organ Adjustment/Daseinsberechtigung"" MC | Cassette",Crematron Double,Remote Controlled Organ Adjustment/Daseinsberechtigung,Cassette,
"Sabazz ""The Intolerable Absence of Evil"" LP | Vinyl",Sabazz,The Intolerable Absence of Evil,Vinyl,
"En La Niebla ""El Limbo de Los Callados"" Digipak CD | CD",En La Niebla,El limbo de Los Callados,CD,
"Spritu Mors ""Exsilium"" MCD | CD",Spritu Mors,Exsilium,CD,
"Thomas von Wachenfeldt ""Mythos of the Forefathers, Vol. 2 – The Primeval Age of Peace"" Double CD | CD",Thomas von Wachenfeldt,"Mythos of the Forefathers, Vol. 2 – The Primeval Age of Peace",CD,
"Superchrist ""Black Thunder"" 7"" | Vinyl",Superchrist,Black Thunder,Vinyl,
"Hollow Woods ""Cold Winds Cleave the Earth"" LP | Vinyl",Hollow Woods,Cold Winds Cleave the Earth,Vinyl,
"Emperor ""Emperor"" LP (German Press) | Vinyl",Emperor,Emperor,Vinyl,
"Byyrth ""Cold Autumn Shadows"" Digipak CD | CD",Byyrth,Cold Autumn Shadows,CD,
"Necrony ""Pathological Performances"" CD | CD",Necrony,Pathological Performances,CD,
"Boia / Spasticus ""Spasticating Execution"" Split MC | Cassette",Boia / Spasticus,Spasticating Execution,Cassette,
"Lord of Evil ""Reh - 1992/1994"" LP | Vinyl",Lord of Evil,Reh - 1992/1994,Vinyl,
"Oksennus ""Työn Orjat Sorron Yöstä Nouskaa"" Demo | Cassette",Oksennus,Työn Orjat Sorron Yöstä Nouskaa,Cassette,
"Twisted Tower Dire / Cauldron Born ""Knights of True Metal"" Split LP | Vinyl",Twisted Tower Dire / Cauldron Born,Knights of True Metal,Vinyl,
"Vonülfsrëich ""Ylfsreälm Inguz"" CD | CD",Vonülfsrëich,Ylfsreälm Inguz,CD,
"Wynter Myst / Vegard ""The Shivering Forest"" Digipak CD | CD",Wynter Myst / Vegard,The Shivering Forest,CD,
"Ewigkeit ""I"" CD | CD",Ewigkeit,I,CD,
"Dew of Nothing ""The Hatehunter"" 7"" | Vinyl",Dew of Nothing,The Hatehunter,Vinyl,
"Purba ""Roma Aeterna"" Digipak CD | CD",Purba,Roma Aeterna,CD,
"Megaton ""los libros sagrados"" CD | CD",Megaton,los libros sagrados,CD,
"Mäleficentt ""Night of the Pale Moon / Night of the Spectral Vision"" LP | Vinyl",Mäleficentt,Night of the Pale Moon / Night of the Spectral Vision,Vinyl,
"Issolei ""Cilicium"" LP | Vinyl",Issolei,Cilicium,Vinyl,
"Eschaton ""Causa Fortior"" Demo | Cassette",Eschaton,Causa Fortior,Cassette,
"Professor Black ""Sunrise"" LP | Vinyl",Professor Black,Sunrise,Vinyl,
"Holochrist ""Ilmestys"" Demo | Cassette",Holochrist,Ilmestys,Cassette,
"Ved Buens Ende ""Those Who Caress the Pale"" CD | CD",Ved Buens Ende,Those Who Caress the Pale,CD,
"Emperor ""Anthems to the Welkin at Dusk"" Official Picture LP (Candlelight Pressing) | Vinyl",Emperor,Anthems To The Welkin At Dusk,Vinyl,
"Statetrooper ""3 Track 12"" EP"" MLP (Neat Records) | Vinyl",Statetrooper,3 Track 12,Vinyl,
"Nocturnal Hell ""4 Years of Shit"" CD | CD",Nocturnal Hell,4 Years of Shit,CD,
Yxxan “Misanthropic Impulse” Test Press LP | Vinyl,Yxxan,Misanthropic Impulse,Vinyl,
"Behalf Fiend ""The Analogical Evil Sound Revives"" CD | CD",Behalf Fiend,The Analogical Evil Sound Revives,CD,
Blood I  Bleed / Lycanthropy Split CD | CD,,,,
"Murg ""Gudatall"" MC | Cassette",Murg,Gudatall,Cassette,
Barathrum “Eerie” Double LP | Vinyl,Barathrum,Eerie,Vinyl,
"Serum Dreg ""Lustful Vengeance"" LP | Vinyl",Serum Dreg,Lustful Vengeance,Vinyl,
"Confuse ""Spending Loud Night - Recordings 1987-1991"" LP | Vinyl",Confuse,Spending Loud Night - Recordings 1987-1991,Vinyl,
"Grinning God ""Sard​ó​nios"" Digipak CD | CD",Grinning God,Sard​ó​nios,CD,
"Veneraxiom ""Intercurse"" MC | CD",Veneraxiom,Intercurse,CD,
"Cryptic Shift / Replicant / Inoculation / Astral Tomb ""Chasm Of Aeons"" LP | Vinyl",Cryptic Shift / Replicant / Inoculation / Astral Tomb,Chasm Of Aeons,Vinyl,
"Leraje ""Ferro Ignique"" 7"" | Vinyl",Leraje,Ferro Ignique,Vinyl,
"Pale Mist ""Through the Labyrinth and into Connectivity"" MC (GoatowaRex) | Cassette",Pale Mist,Through the Labyrinth and into Connectivity,Cassette,
Ostots / Gaua Split CD | CD,,,,
"Nekroholocaust ""In Memories of Fire"" MC | Cassette",Nekroholocaust,In Memories of Fire,Cassette,
"Assassination ""Red Magick Faction"" LP | Vinyl",Assassination,Red Magick Faction,Vinyl,
"Nocturnal Breed ""Aggressor"" LP | Vinyl",Nocturnal Breed,Aggressor,Vinyl,
"Aeiou ""F.H.T."" Demo | Cassette",Aeiou,F.H.T.,Cassette,
"Eadem ""Luguber"" CD | CD",Eadem,Luguber,CD,
"Necrowinds ""The Four Offerings"" Demo | Cassette",Necrowinds,The Four Offerings,Cassette,
"Invocator ""Live Odense 04-11-1989"" CD | CD",Invocator,Live Odense 04-11-1989,CD,
"Nöldr ""Misanthropic Forest"" Demo | Cassette",Nöldr,Misanthropic Forest,Cassette,
"Hagathorn ""Hartwold"" Digipak CD | CD",Hagathorn,Hartwold,CD,
"Troll ""Trollstorm Over Nidingjuv"" A5 Digipak CD | CD",Troll,Trollstorm Over Nidingjuv,CD,
"V/A Hail to Bombarder CD (Nifelheim, Avenger, Bombarder, etc) | CD",,,,
"Mahr ""Odium"" LP | Vinyl",Mahr,Odium,Vinyl,
"Black Crucifixion ""The Fallen One of Flames / Satanic Zeitgeist"" Test Press LP | Vinyl",Black Crucifixion,The Fallen One of Flames / Satanic Zeitgeist,Vinyl,
"Blood Red Fog ""Harvest"" LP | Vinyl",Blood Red Fog,Harvest,Vinyl,
"Disclose / G.A.T.E.S. Black Vinyl Split 7"" | Vinyl",,,,
"Infesticide ""Envenoming Wounds"" LP | Vinyl",Infesticide,Envenoming Wounds,Vinyl,
Carpe Tenebrum “Majestic Nothingness” MC | Cassette,Carpe Tenebrum,Majestic Nothingness,Cassette,
"Fornace ""Pregnant is the Night"" CD | CD",Fornace,Pregnant is the Night,CD,
"Intemperator ""Blood Blackened Atriums"" 7"" | Vinyl",Intemperator,Blood Blackened Atriums,Vinyl,
"Axewitch ""The Lord of Flies"" Digipak CD | CD",Axewitch,The Lord of Flies,CD,
"Vorpal Sword ""Fugue State Demo #5"" Demo | Cassette",Vorpal Sword,Fugue State Demo #5,Cassette,
"Haunted Cenotaph ""Nightmares from Beyond"" CD | CD",Haunted Cenotaph,Nightmares from Beyond,CD,
"Awaketh ""Awaketh"" LP | Vinyl",Awaketh,Awaketh,Vinyl,
"Impious Havoc ""Dawn of Nothing"" LP | Vinyl",Impious Havoc,Dawn of Nothing,Vinyl,
"Turbocharged ‎""Branded And Arrogant (The Early Heresies)"" LP | Vinyl",,,,
"Vendetta ""Go And Live... Stay And Die"" CD | CD",Vendetta,Go And Live... Stay And Die,CD,
"Thokk ""A Trance For The Ever​-​Toiling Witch"" LP | CD",Thokk,A Trance For The Ever​-​Toiling Witch,CD,
"Roxxi ""Drive It To Ya Hard!"" MC | Cassette",Roxxi,Drive It To Ya Hard!,Cassette,
"Threefold ""Along The Danube"" Demo | Cassette",Threefold,Along The Danube,Cassette,
"Funerary Call ""Dark Waters Stirred"" CD | CD",Funerary Call,Dark Waters Stirred,CD,
Oksennus “Kolme Toista” Digipak CD | CD,Oksennus,Kolme Toista,CD,
"Dai ""Demos 1989-1992"" Double Test Press LP | Vinyl",Dai,Demos 1989-1992,Vinyl,
"Damnation Call ""Carnage of Soul"" LP | Vinyl",Damnation Call,Carnage of Soul,Vinyl,
"Carved Cross ""Embittered Amidst the Ashes"" LP | Vinyl",Carved Cross,Embittered Amidst the Ashes,Vinyl,
"Lord Belial ""Enter The Moonlight Gate"" MC | Cassette",Lord Belial,Enter The Moonlight Gate,Cassette,
"Hexakosioihexekonta hexaphilia ""Demo DCLXVI"" Demo | Cassette",Hexakosioihexekonta hexaphilia,Demo DCLXVI,Cassette,
"Grave Upheaval ""Live"" CD | CD",Grave Upheaval,Live,CD,
"GMO ""GMO"" MC | Cassette",GMO,GMO,Cassette,
"Banished From Inferno ""Minotaur"" LP | Vinyl",Banished From Inferno,Minotaur,Vinyl,
"Black Spell ""Season of the Damned"" MC | Cassette",Black Spell,Season of the Damned,Cassette,
"Sacrilege ""Behind The Realms Of Madness"" CD | CD",Sacrilege,Behind The Realms Of Madness,CD,
"Bloody Cross ""Forgotten Hellish Ritual from the Empire of Lucifer (Vol. II & Vol .III)"" Double CD | CD",Bloody Cross,Forgotten Hellish Ritual from the Empire of Lucifer (Vol. II & Vol .III),CD,
"Svartsyn "".​.​.​His Majesty"" MC | Cassette",Svartsyn,.​.​.​His Majesty,Cassette,
"Necromantia ""Epitaph: The Complete Worx"" 9 x LP Boxset | Vinyl",Necromantia,Epitaph: The Complete Worx,Vinyl,
"Shatargat ""Crushing The Thrones Of Light"" LP (Pre-Satanic Warmaster) | Vinyl",Shatargat,Crushing The Thrones Of Light,Vinyl,
"Bloodsoaked Necrovoid ""Expelled into the Unknown Depths of the Unfathomable"" LP | Vinyl",Bloodsoaked Necrovoid,Expelled into the Unknown Depths of the Unfathomable,Vinyl,
"Atman ""L'Assassi de Venus"" CD | CD",Atman,L'Assassi de Venus,CD,
"Moonblood ""Taste Our German Steel"" LP | Vinyl",Moonblood,Taste Our German Steel,Vinyl,
"Blood Spore ""Fungal Warfare Upon All Life"" MC | Cassette",Blood Spore,Fungal Warfare Upon All Life,Cassette,
"Abyss of Perdition ""Conquest Through Sacrilege"" 7"" | Vinyl",Abyss of Perdition,Conquest Through Sacrilege,Vinyl,
"Hexenbrett ""Intermezzo dei quattro coltelli nudi"" CD | CD",Hexenbrett,Intermezzo dei quattro coltelli nudi,CD,
"Trepas ""l'Heritage du Monde"" CD | CD",Trepas,l'Heritage du Monde,CD,
"Mo'ynoq ""Dreaming in a Dead Language"" LP | Vinyl",Mo'ynoq,Dreaming in a Dead Language,Vinyl,
"Old Tower ""Draconic Synthesis"" LP | Vinyl",Old Tower,Draconic Synthesis,Vinyl,
"Hagel ""Veneration Of The Black Light"" CD | CD",Hagel,Veneration Of The Black Light,CD,
"Religious Vision ""Vampire's Legend"" LP | Vinyl",Religious Vision,Vampire's Legend,Vinyl,
"Heads For The Dead ""In The Absence Of Faith"" CD | CD",Heads For The Dead,In The Absence Of Faith,CD,
"Ibliss ""(​(​(​Unholy​)​)​)"" LP | Vinyl",Ibliss,(​(​(​Unholy​)​)​),Vinyl,
"Funerary Bell ""The Coven"" LP | Vinyl",Funerary Bell,The Coven,Vinyl,
"Krüger ""Рожденный Мраком"" LP | Vinyl",Krüger,Рожденный Мраком,Vinyl,
"Old Coven ""Mysteries of the Dark Occult"" MLP | Vinyl",Old Coven,Mysteries of the Dark Occult,Vinyl,
"At-Thi อัฐิ ""อ​น​ั​น​ต​ท​ุ​ค​ต​ิ"" MC | Cassette",At-Thi อัฐิ,อ​น​ั​น​ต​ท​ุ​ค​ต​ิ,Cassette,
"Abigor ""Taphonomia Aeternitatis"" Gatefold Slipcase LP | Vinyl",Abigor,Taphonomia Aeternitatis,Vinyl,
"Enslaved ""Below the Lights"" LP | Vinyl",Enslaved,Below the Lights,Vinyl,
"Twisted Tower Dire ""Crest Of The Martyrs Demos"" LP | Vinyl",Twisted Tower Dire,Crest Of The Martyrs Demos,Vinyl,
"Rotting Christ ""Thy Mighty Contract"" CD | CD",Rotting Christ,Thy Mighty Contract,CD,
"Farscape ""Doctrine Sickness"" Demo | Cassette",Farscape,Doctrine Sickness,Cassette,
"Carpathian Forest ""Through Chasm, Caves And Titan Woods"" LP | Vinyl",Carpathian Forest,"Through Chasm, Caves And Titan Woods",Vinyl,
"Metalucifer ""Heavy Metal Tank"" CD | CD",Metalucifer,Heavy Metal Tank,CD,
"Carved Cross / Broken Spirit ""Cult Pv/ I Am Rid, Of All Humans"" Split LP | Vinyl",Carved Cross / Broken Spirit,"Cult Pv/ I Am Rid, Of All Humans",Vinyl,
"Elffor ""Arkaik II"" LP | Vinyl",Elffor,Arkaik II,Vinyl,
"Israthoum ""Arrows from Below"" CD | CD",Israthoum,Arrows from Below,CD,
"Knelt Rote ""Alterity"" Blue Vinyl Test Press LP | Vinyl",Knelt Rote,Alterity,Vinyl,
"Hermóðr ""To the Nightside"" Digipak CD | CD",Hermóðr,To the Nightside,CD,
"Vaurien ""L'esprit et le B​é​ton"" LP | Vinyl",Vaurien,L'esprit et le B​é​ton,Vinyl,
"Malfet ""The Way To Avalon"" LP | Vinyl",Malfet,The Way To Avalon,Vinyl,
"Encoffination ""We Proclaim Your Death O' Lord"" Double LP | Vinyl",Encoffination,We Proclaim Your Death O' Lord,Vinyl,
"Kalmankantaja ""Second Death"" Digipak CD | CD",Kalmankantaja,Second Death,CD,
"Terrorazor/Carnivore Mind split 7"" | Vinyl",,,,
"Ara Solis ""Ashvattha"" Digipak CD | CD",Ara Solis,Ashvattha,CD,
"Black Cilice ""Mysteries"" LP | Vinyl",Black Cilice,Mysteries,Vinyl,
"Ventos / Myśliwy ""Murmurio Noturno / Reflections Of Steel"" Split LP | Vinyl",Ventos / Myśliwy,Murmurio Noturno / Reflections Of Steel,Vinyl,
"Ornæmental Shine ""Deima Panikon"" LP | Vinyl",Ornæmental Shine,Deima Panikon,Vinyl,
"Blood Countess ""Blood Countess"" MC | Cassette",Blood Countess,Blood Countess,Cassette,
"Hässlig ""Deathlust"" LP | Vinyl",Hässlig,Deathlust,Vinyl,
"Shadowbreed ""Avatar"" 7"" | Vinyl",Shadowbreed,Avatar,Vinyl,
"Trhä / Celestial Sword ""Edënohhdlha hálgra tu majtranlh'ha / Ga nëcëcta mon idlhi"" Split LP | Vinyl",Trhä / Celestial Sword,Edënohhdlha hálgra tu majtranlh'ha / Ga nëcëcta mon idlhi,Vinyl,
"Temple Of The Beast ""Geminian Arcana"" LP | Vinyl",Temple Of The Beast,Geminian Arcana,Vinyl,
"Beastcraft ""The Infernal Gospels of Primitive Devil Worship"" LP | Vinyl",Beastcraft,The Infernal Gospels of Primitive Devil Worship,Vinyl,
"Gärgäntuäh ""Urmystyk"" LP | Vinyl",Gärgäntuäh,Urmystyk,Vinyl,
"Next ""Invasión Nuclear"" MC | Cassette",Next,Invasión Nuclear,Cassette,
"Barathrum ""Demo(no)s"" 3 x LP | Vinyl",Barathrum,Demo(no)s,Vinyl,
