"(DOLCH) ""Tonight"" 10"" | Vinyl",(DOLCH),Tonight,Vinyl,
"Syphilitic Lust ""Sleaze Patrol / Pull the String"" 7"" | Vinyl",Syphilitic Lust,Sleaze Patrol / Pull the String,Vinyl,
"Systral / Acheborn ""Present A Split Seven Inch"" 7"" | Vinyl",Systral / Acheborn,Present A Split Seven Inch,Vinyl,
"Szarlem ""Screams from a Chamber"" 7"" | Vinyl",Szarlem,Screams from a Chamber,Vinyl,
"TerrifianT ""Demo"" 7"" | Vinyl",TerrifianT,Demo,Vinyl,
"Terrorsaw ""The Deepest Machete Penetration"" 7"" | Vinyl",Terrorsaw,The Deepest Machete Penetration,Vinyl,
"Thanatos ""The Burning Of Sodom/...And Jesus Wept"" Red Vinyl 7"" (Lim to 100) | Vinyl",Thanatos,The Burning Of Sodom/...And Jesus Wept,Vinyl,
"The Cole Quintet ""Flamingo"" 7"" | Vinyl",The Cole Quintet,Flamingo,Vinyl,
"The Dead Ones ""The Dead Ones"" 7"" | Vinyl",The Dead Ones,The Dead Ones,Vinyl,
"The Entombed / The New Bomb Turks ""Night Of The Vampire / I Hate People"" Split 7"" | Vinyl",The Entombed / The New Bomb Turks,Night Of The Vampire / I Hate People,Vinyl,
"The Nefarious Integration ""Articles of Execution"" 7"" | Vinyl",The Nefarious Integration,Articles of Execution,Vinyl,
"The Satan's Scourge ""...Of Kaos and Karnage"" 7"" | Vinyl",The Satan's Scourge,...Of Kaos and Karnage,Vinyl,
"Thevetat ""Desecration of Divine Presence"" 7"" | Vinyl",Thevetat,Desecration of Divine Presence,Vinyl,
"Thralldom ""A Murderous Magus Of The Morphogenetic Grid"" Black Vinyl 7"" | Vinyl",Thralldom,A Murderous Magus Of The Morphogenetic Grid,Vinyl,
"Thralldom ""A Murderous Magus Of The Morphogenetic Grid"" Blue Vinyl 7"" | Vinyl",Thralldom,A Murderous Magus Of The Morphogenetic Grid,Vinyl,
"Thralldom ""Black Sun Resistance"" LP | Vinyl",Thralldom,Black Sun Resistance,Vinyl,
"Thralldom ""The Seven Heads Of The Lion-Serpent"" 7"" | Vinyl",Thralldom,The Seven Heads Of The Lion-Serpent,Vinyl,
"Throaat ""The Light/Evil Dead"" 7” | Vinyl",Throaat,The Light/Evil Dead,Vinyl,
"Torch of Decaying Log ""S/T"" 7"" | Vinyl",Torch of Decaying Log,S/T,Vinyl,
"Tormentor ""The Tyrant of Transylvania"" Blood Splattered 7"" | Vinyl",Tormentor,The Tyrant of Transylvania,Vinyl,
"Trial ""Malicious Arts"" 7"" | Vinyl",Trial,Malicious Arts,Vinyl,
"Tsatthoggua ""German Black Metal"" 7"" | Vinyl",Tsatthoggua,German Black Metal,Vinyl,
"Tudor ""Spalovna"" 7"" (Czech Cult Metal 1991) | Vinyl",Tudor,Spalovna,Vinyl,
"TYRANT GOATGALDRAKONA ""Marquis Of Evil"" 7"" | Vinyl",TYRANT GOATGALDRAKONA,Marquis Of Evil,Vinyl,
"Ulcerrhoea / Siviilimurha ""Saatanan Split"" 7"" | Vinyl",Ulcerrhoea / Siviilimurha,Saatanan Split,Vinyl,
"Ültimo Templo ""Herida Abierta Hacia El Futuro"" 7"" | Vinyl",Ültimo Templo,Herida Abierta Hacia El Futuro,Vinyl,
"Undantagsfolk ""Den Ondes Fingrar"" 7"" | Vinyl",Undantagsfolk,Den Ondes Fingrar,Vinyl,
"Undead Creep ""Enchantment from the Haunted Hills"" 7"" | Vinyl",Undead Creep,Enchantment from the Haunted Hills,Vinyl,
"Unholy Crucifix ""Vile Odors in the Nave"" Orange Vinyl 7"" | Vinyl",Unholy Crucifix,Vile Odors in the Nave,Vinyl,
"Unveiled ""Suicide Inc."" 7"" | Vinyl",Unveiled,Suicide Inc.,Vinyl,
"Utyr ""Compilation"" LP | Vinyl",Utyr,Compilation,Vinyl,
"V/A ""Naked Breakers"" 7"" | Vinyl",V/A,Naked Breakers,Vinyl,
"Varghkoghargasmal ""Varghkoghargasmal"" Black Vinyl 7"" | Vinyl",Varghkoghargasmal,Varghkoghargasmal,Vinyl,
"Vengeance Horde ""Vengeance Horde"" 7"" | Vinyl",Vengeance Horde,Vengeance Horde,Vinyl,
"Venomous Maximus ""Give Up The Witch"" Green Vinyl 7"" | Vinyl",Venomous Maximus,Give Up The Witch,Vinyl,
"Versifist ""Cipher"" 7"" | Vinyl",Versifist,Cipher,Vinyl,
"Veternus ""Awaken the Grave"" 7"" | Vinyl",Veternus,Awaken the Grave,Vinyl,
"Veternus ""Awaken the Grave"" Test Press 7"" | Vinyl",Veternus,Awaken the Grave,Vinyl,
"Victoria ""Homo Rattus I"" 7"" | Vinyl",Victoria,Homo Rattus I,Vinyl,
"Villains / Fingernails ""Getting Crazy"" Test Press 7"" | Vinyl",Villains / Fingernails,Getting Crazy,Vinyl,
"Villains / Fingernails ""Split"" Test Press 7"" | Vinyl",Villains / Fingernails,Split,Vinyl,
"Vitsaus ""Ajan Ja Ihmisen Haudoilla"" LP | Vinyl",Vitsaus,Ajan Ja Ihmisen Haudoilla,Vinyl,
"Vociferian ""Icon Edge (An Anagram for Genocide)"" 7"" | Vinyl",Vociferian,Icon Edge (An Anagram for Genocide),Vinyl,
"Void Ceremony ""Dystheism"" 7"" | Vinyl",Void Ceremony,Dystheism,Vinyl,
"Volcana ""A Lion Among Jackals"" 7"" | Vinyl",Volcana,A Lion Among Jackals,Vinyl,
"Vorkuta ""Wandering Alone in the Forest of Transcendence"" 7"" | Vinyl",Vorkuta,Wandering Alone In The Forest Of Transcendence,Vinyl,
"Vort ""Demo"" 7"" | Vinyl",Vort,Demo,Vinyl,
"Vulturine ""O Caminho Da Mao Esquerda"" 7"" | Vinyl",Vulturine,O Caminho Da Mao Esquerda,Vinyl,
"W.A.I.L. ""Wisdom Through Agony Into Illumination And Lunacy"" LP | Vinyl",W.A.I.L.,Wisdom Through Agony Into Illumination And Lunacy,Vinyl,
"Wagner Ödegård ""Gryningenne"" 7"" | Vinyl",Wagner Ödegård,Gryningenne,Vinyl,
"Waldgeflüster ""Femundsmarka"" Double LP | Vinyl",Waldgeflüster,Femundsmarka,Vinyl,
"Walghinge ""Afgrondschemering"" 7"" | Vinyl",Walghinge,Afgrondschemering,Vinyl,
"Wargoat ""Materia Prima"" 7"" | Vinyl",Wargoat,Materia Prima,Vinyl,
"Warhead "" X-Mas Bop / White Christmas "" 7"" (With Paul Chain) | Vinyl",Warhead, X-Mas Bop / White Christmas ,Vinyl,
"Weltentod ""Schändung Des Heiligen Geistes"" 7"" | Vinyl",Weltentod,Schändung Des Heiligen Geistes,Vinyl,
"Weregoat ""Cunting Darkness"" 7"" | Vinyl",Weregoat,Cunting Darkness,Vinyl,
"Wikka ""Earthdogs"" Test Press 7"" | Vinyl",Wikka,Earthdogs,Vinyl,
"Wineta ""Zanim wstanie dzień / Reh.'93"" 7"" | Vinyl",Wineta,Zanim wstanie dzień / Reh.'93,Vinyl,
"Winter coffin ""Forest of Blitzkrieg"" 7"" | Vinyl",Winter coffin,Forest of Blitzkrieg,Vinyl,
"Witchcraft ""It's Not Because Of You"" Brown Vinyl 7"" | Vinyl",Witchcraft,It's Not Because Of You,Vinyl,
"Witchunter ""Alive in Europe!"" 7"" | Vinyl",Witchunter,Alive in Europe!,Vinyl,
"Wither ""Wither"" 7"" (Sacriphyx related black doom) | Vinyl",Wither,Wither,Vinyl,
"Wolfsschrei / Isaz ""Leichentanz"" Split 7"" | Vinyl",Wolfsschrei / Isaz,Leichentanz,Vinyl,
"Writhing ""Eternalised In Rot"" 7"" | Vinyl",Writhing,Eternalised In Rot,Vinyl,
"Wurm ""Hog Metal"" 7"" | Vinyl",Wurm,Hog Metal,Vinyl,
"Wurm ""Vultures of the Southern Seas"" 7"" | Vinyl",Wurm,Vultures of the Southern Seas,Vinyl,
"Youssouf Today ""Youssouf Today"" 7"" | Vinyl",Youssouf Today,Youssouf Today,Vinyl,
"Zemial ""I Am The Dark"" Red Vinyl 7"" (Lim to 100) | Vinyl",Zemial,I Am The Dark,Vinyl,
"Zhmach ""Euphoria Never Leaves"" 7"" | Vinyl",Zhmach,Euphoria Never Leaves,Vinyl,
"(V.E.G.A.) ""Cocaine"" CD | CD",(V.E.G.A.),Cocaine,CD,
"13 Bells of Doom ""13 Bells of Doom"" CD | CD",13 Bells of Doom,13 Bells of Doom,CD,
"8th Sin ""Angelseed and Demonmilk"" CD | CD",8th Sin,Angelseed and Demonmilk,CD,
"A.M.S.G. ""The Principle Of Evil Becomes The Ideal Of The Promethean"" CD | CD",A.M.S.G.,The Principle Of Evil Becomes The Ideal Of The Promethean,CD,
"Aarseth ""Espiritum/Aarseth"" Digipak CD | CD",Aarseth,Espiritum/Aarseth,CD,
"Abhorior / Sadistik Goathammer ""Hierophanic Sigils ov the Poison and Death"" CD | CD",Abhorior / Sadistik Goathammer,Hierophanic Sigils ov the Poison and Death,CD,
"Abigor ""Apokalypse"" Digipak CD | CD",Abigor,Apokalypse,CD,
"Abigor ""Supreme Immortal Art"" Digipak CD | CD",Abigor,Supreme Immortal Art,CD,
"Abigor ""Taphonomia Aeternitatis"" Slipcase CD | CD",Abigor,Taphonomia Aeternitatis,CD,
"Abortofacient ""In the Crypt of Gore"" CD | CD",Abortofacient,In the Crypt of Gore,CD,
"Aborym ""Live in Groningen"" Digipack CD | CD",Aborym,Live in Groningen,CD,
"Abruptum ""Casus Luciferi"" CD | CD",Abruptum,Casus Luciferi,CD,
"Absentation ""The Intellectual Darkness"" CD | CD",Absentation,The Intellectual Darkness,CD,
"Absolvtion ""Gallow's Destiny"" CD | CD",Absolvtion,Gallow's Destiny,CD,
"Absu ""Barathrum: V.I.T.R.I.O.L."" CD | CD",Absu,Barathrum: V.I.T.R.I.O.L.,CD,
"Abythic ""Eden of the Doomed"" CD | CD",Abythic,Eden of the Doomed,CD,
"Acathexis ""Immerse"" Digipak CD | CD",Acathexis,Immerse,CD,
"Acerbitas ""Urkaosets Svarta Vredesdom"" CD (1st Press - Ancient Recs Related BM) | CD",Acerbitas,Urkaosets Svarta Vredesdom,CD,
"Acheron ""The Final Conflict - Last Days of God"" A5 Digipak CD | CD",Acheron,The Final Conflict - Last Days of God,CD,
"Acid ""Maniac + Black Car"" CD | CD",Acid,Maniac + Black Car,CD,
"Acid Blade ""Power Dive"" CD | CD",Acid Blade,Power Dive,CD,
"Acid Drinkers ""Verses of Steel"" CD | CD",Acid Drinkers,Verses of Steel,CD,
"Acral Necrosis ""Eternal Nuklear Violation"" CD | CD",Acral Necrosis,Eternal Nuklear Violation,CD,
"ADORATION ""Running to Hell"" CD | CD",ADORATION,Running to Hell,CD,
"Adversvm ""Dysangelion"" CD | CD",Adversvm,Dysangelion,CD,
"Aedh ""Au-Delà Des Cendres"" CD | CD",Aedh,Au-Delà Des Cendres,CD,
"Aeon Void ""Fragments of Illusion"" Digipak CD | CD",Aeon Void,Fragments of Illusion,CD,
"Aere Aeternus ""Humanity Needs No Funeral"" CD | CD",Aere Aeternus,Humanity Needs No Funeral,CD,
"Agatus ""The Weaving Fates"" CD | CD",Agatus,The Weaving Fates,CD,
"Aghast ""Hexerei im Zwielicht der Finsternis"" CD | CD",Aghast,Hexerei im Zwielicht der Finsternis,CD,
"Agrath ""The Fall of Mankind"" CD | CD",Agrath,The Fall of Mankind,CD,
"Agrimonia ""Host of te Winged"" CD | CD",Agrimonia,Host of te Winged,CD,
"Aihos ""Hävityksen Maa"" CD | CD",Aihos,Hävityksen Maa,CD,
"Aihos ""Ikuisuuden Suojaan"" CD | CD",Aihos,Ikuisuuden Suojaan,CD,
"AION ""Verses of Perdition"" CD | CD",AION,Verses of Perdition,CD,
"Aiwaz ""Dreams Of Ancient Gods"" CD (Italian DM 1994/95) | CD",Aiwaz,Dreams Of Ancient Gods,CD,
"Akashah ""Path of Elders"" CD | CD",Akashah,Path of Elders,CD,
"Akathartos ""Baptised By Darkness"" Digipak CD | CD",Akathartos,Baptised By Darkness,CD,
"Akefal ""Opus Darkness"" CD | CD",Akefal,Opus Darkness,CD,
"Akerbeltz ""Satànic"" CD | CD",Akerbeltz,Satànic,CD,
"Akhkharu ""Celebratum"" CD | CD",Akhkharu,Celebratum,CD,
"Akolyytti ""Transcendence - The Beast Within"" MCD | CD",Akolyytti,Transcendence - The Beast Within,CD,
"Akrabu ""Ziggurat Ascension"" CD | CD",Akrabu,Ziggurat Ascension,CD,
"Aksaya ""l'Aube Rouge"" CD | CD",Aksaya,l'Aube Rouge,CD,
Äkth Gánahëth “Crowned in Shadows” Digipak CD | CD,Äkth Gánahëth,Crowned in Shadows,CD,
"Alebrije ""Alebrije"" CD | CD",Alebrije,Alebrije,CD,
"Algaion ""Oimai Algeiou"" Digipak CD | CD",Algaion,Oimai Algeiou,CD,
"Algaion ""Εχθρός"" CD | CD",Algaion,Εχθρός,CD,
"Allegiance ""Blodörnsoffer"" CD | CD",Allegiance,Blodörnsoffer,CD,
"Allegiance ""Vrede"" CD | CD",Allegiance,Vrede,CD,
"Alpha Hydrae ""Spiritual Dimorphism"" CD | CD",Alpha Hydrae,Spiritual Dimorphism,CD,
"Alpha Hydrae ""Venomous Devotion - The Hematic Lust"" CD | CD",Alpha Hydrae,Venomous Devotion - The Hematic Lust,CD,
"Alpheratz ""Egregorian Oath"" CD | CD",Alpheratz,Egregorian Oath,CD,
"Altar ""Dark Domains"" CD | CD",Altar,Dark Domains,CD,
"Altar ""Youth Against Christ"" CD | CD",Altar,Youth Against Christ,CD,
"Altar Blood ""From the Darkest Chasms"" CD | CD",Altar Blood,From the Darkest Chasms,CD,
"Altar of Gore ""Infinite Visions of Violence"" CD | CD",Altar of Gore,Infinite Visions of Violence,CD,
"Altar of Gore ""Obscure & Obscene Gods"" CD | CD",Altar of Gore,Obscure & Obscene Gods,CD,
"Altarage ""Worst Case Scenario"" CD | CD",Altarage,Worst Case Scenario,CD,
"Altered Heresy ""Dimensions Of Eternal Blasphemy Ordained In Satanic Majesty"" Digipak CD | CD",Altered Heresy,Dimensions Of Eternal Blasphemy Ordained In Satanic Majesty,CD,
"Amen Corner ""Darken in Quir Haresete"" CD | CD",Amen Corner,Darken in Quir Haresete,CD,
"Amen Corner / Black Angel ""South American Tribute"" Split CD | CD",Amen Corner / Black Angel,South American Tribute,CD,
"Ammit ""Return of the Wizards/Promotional Tape 91-95"" CD | CD",Ammit,Return of the Wizards/Promotional Tape 91-95,CD,
"Amnutseba ""Emanatism"" Digipak CD | CD",Amnutseba,Emanatism,CD,
"Amon Acid ""Cosmogony"" Digipak CD | CD",Amon Acid,Cosmogony,CD,
"Amon Acid ""Paradigm Shift"" CD | CD",Amon Acid,Paradigm Shift,CD,
"Anal Destructor ""Black Souls of Death"" CD | CD",Anal Destructor,Black Souls of Death,CD,
"Anal Vomit ""Demoniac Flagellations"" CD (Chilean Press) | CD",Anal Vomit,Demoniac Flagellations,CD,
"Anal Vomit ""Demoniac Flagellations"" CD (Mexican Press) | CD",Anal Vomit,Demoniac Flagellations,CD,
"Anal Vomit ""Depravation"" CD | CD",Anal Vomit,Depravation,CD,
"Anarchus / Oxidised Razor ""Fanatism Kills"" Split CD | CD",Anarchus / Oxidised Razor,Fanatism Kills,CD,
"Anatomia ""Decaying in Obscurity"" CD (Korean Press) | CD",Anatomia,Decaying in Obscurity,CD,
"Anatomia ""Dissected Humanity"" CD (Mexican Pressing) | CD",Anatomia,Dissected Humanity,CD,
"Anatomia / Absconder ""Audible Assault"" CD | CD",Anatomia / Absconder,Audible Assault,CD,
"Ancestors Blood ""A Dark Passage From the Past"" CD | CD",Ancestors Blood,A Dark Passage From the Past,CD,
"Ancestors Blood ""A Moment Of Clarity"" CD | CD",Ancestors Blood,A Moment Of Clarity,CD,
"Ancestors Blood ""When the Forest Calls"" CD | CD",Ancestors Blood,When the Forest Calls,CD,
"Ancient Boreal Forest ""A Relic From the Sands of Time / Where Dragons Dream""  Double CD | CD",Ancient Boreal Forest,A Relic From the Sands of Time / Where Dragons Dream,CD,
"Ancient Guard ""Nightfall Enthroned"" CD | CD",Ancient Guard,Nightfall Enthroned,CD,
"Ancient Rites ""Dim Carcosa"" CD | CD",Ancient Rites,Dim Carcosa,CD,
"Ancient Torment / Haxen ""The Howling Gale"" Split CD | CD",Ancient Torment / Haxen,The Howling Gale,CD,
Angel Death “Memoirs of death: the history 1986-1995” CD | CD,Angel Death,Memoirs of death: the history 1986-1995,CD,
"Angelust ""Carnal Rites"" CD | CD",Angelust,Carnal Rites,CD,
"Angra Mainyu ""Die kalte Dunkelheit"" CD | CD",Angra Mainyu,Die kalte Dunkelheit,CD,
"Anguish ""Abstract Decomposition"" Cloth Bag CD | CD",ANGUISH,Abstract Decomposition,CD,
"Animal Man Machine ""Until We See The Light"" CD | CD",Animal Man Machine,Until We See The Light,CD,
"Antediluvian ""Through The Cervix Of Hawaah"" CD | CD",Antediluvian,Through The Cervix Of Hawaah,CD,
"Antediluvian ""Watchers' Reign I"" CD | CD",Antediluvian,Watchers' Reign I,CD,
"Änterbila ""Änterbila"" CD | CD",Änterbila,Änterbila,CD,
"Antichrist ""Crushing Metal Death"" CD | CD",Antichrist,Crushing Metal Death,CD,
"Antichrist (Hungary) ""Dark Age... in the Very Beginning"" CD | CD",Antichrist (Hungary),Dark Age... in the Very Beginning,CD,
"Anticristo ""Diablo Salmos"" CD | CD",Anticristo,Diablo Salmos,CD,
"Antipathic ""Humanimals"" CD | CD",Antipathic,Humanimals,CD,
"Antiversum ""Cosmos Comedenti"" Digipak CD | CD",Antiversum,Cosmos Comedenti,CD,
"Anu ""Eternal Obscurity"" CD | CD",Anu,Eternal Obscurity,CD,
"Anu ""Nighthymns"" CD | CD",Anu,Nighthymns,CD,
"Anubi ""God's Pantheon Demo 1993"" Digipak CD | CD",Anubi,God's Pantheon Demo 1993,CD,
"Anubis ""A Halál Oldalán"" CD (Hungarian black/death 1992) | CD",Anubis,A Halál Oldalán,CD,
"Anuuruk ""Unspeakable Uncreation"" CD | CD",Anuuruk,Unspeakable Uncreation,CD,
"Anweld ""...Zza Czarnych Koron Drzew..."" CD | CD",Anweld,...Zza Czarnych Koron Drzew...,CD,
"Apolion ""Death Grows into Sperm"" CD | CD",Apolion,Death Grows into Sperm,CD,
"APOLOKIA ""Immota Satani Manet"" CD | CD",APOLOKIA,Immota Satani Manet,CD,
"Apolokia ""Kathaarian Vortex"" CD | CD",APOLOKIA,Kathaarian Vortex,CD,
"Apostate Viaticum ""Before the Gates of Gomorrah"" CD | CD",Apostate Viaticum,Before the Gates of Gomorrah,CD,
"Appalling ""Sacrilege"" CD | CD",Appalling,Sacrilege,CD,
"Ara Solis ""Ashvattha"" Digipak CD | CD",Ara Solis,Ashvattha,CD,
"Arallu ""Geniewar"" CD | CD",Arallu,Geniewar,CD,
"Arazubak ""The Haunted Spawn of Torment"" Digipak CD | CD",Arazubak,The Haunted Spawn of Torment,CD,
"Archaeopteris ""Visions Chaotiques D​´​un Songe Halluciné"" CD | CD",Archaeopteris,Visions Chaotiques D​´​un Songe Halluciné,CD,
"Arditi ""Emblem Of Victory"" Digipak CD | CD",Arditi,Emblem Of Victory,CD,
"Arganas ""Pathways to Death Part III"" Digipak CD | CD",Arganas,Pathways to Death Part III,CD,
"Argentum ""Ars Nigrorum"" CD | CD",Argentum,Ars Nigrorum,CD,
"Argentum ""Lucha Y Memoria"" CD | CD",Argentum,Lucha Y Memoria,CD,
"Argentum ""Matter Misericordiae"" CD | CD",Argentum,Matter Misericordiae,CD,
"Argentum ""Mondo Morto (Mors Imperium Aetheriam)"" CD | CD",Argentum,Mondo Morto (Mors Imperium Aetheriam),CD,
"Argentum ""Stigma Mortuorum"" CD | CD",Argentum,Stigma Mortuorum,CD,
"Aria ""Ария/С кем ты?"" CD | CD",Aria,Ария/С кем ты?,CD,
"Arkhaaik ""*dʰg̑ʰm̥tós"" Digipak CD | CD",Arkhaaik,*dʰg̑ʰm̥tós,CD,
"Arkham 13 ""Bloodfiend"" CD | CD",Arkham 13,Bloodfiend,CD,
"Arkhon Infaustus ""In Sperma Infernum"" Digipak CD | CD",Arkhon Infaustus,In Sperma Infernum,CD,
"Arkhtinn ""三度目の災害"" Digipak CD | CD",Arkhtinn,三度目の災害,CD,
"Armagedda ""Echoes in Eternity"" CD | CD",Armagedda,Echoes in Eternity,CD,
"Armagedda ""Svindeldjup Ättestup"" CD | CD",Armagedda,Svindeldjup Ättestup,CD,
"Armagedon ""Death Then Nothing"" Digipack CD | CD",Armagedon,Death Then Nothing,CD,
"Armoured Knight ""The Sacred Flame"" CD | CD",Armoured Knight,The Sacred Flame,CD,
"Arthuros ""Goddess"" Digipak CD | CD",Arthuros,Goddess,CD,
"Aryman / Demonic Slaughter ""Unholy Transgression"" Split CD | CD",Aryman / Demonic Slaughter,Unholy Transgression,CD,
"As Sahar ""Phenomistik"" Digipak CD | CD",As Sahar,Phenomistik,CD,
"Ascended Dead ""Ritus Mortuus"" CD | CD",Ascended Dead,Ritus Mortuus,CD,
"Ashen Tomb ""Ashen Tomb"" CD | CD",Ashen Tomb,Ashen Tomb,CD,
"Assaulter ""Boundless"" CD | CD",Assaulter,Boundless,CD,
"Astral Tomb ""Soulgazer"" CD | CD",Astral Tomb,Soulgazer,CD,
"Astriferous ""Pulsations from the Black Orb"" CD | CD",Astriferous,Pulsations from the Black Orb,CD,
"Astrophobos ""Corpus"" CD | CD",Astrophobos,Corpus,CD,
"Asymmetry ""Asymmetry"" CD | CD",Asymmetry,Asymmetry,CD,
"Athanatos ""Unholy Union"" Digipak CD | CD",Athanatos,Unholy Union,CD,
"Atman ""L'Assassi de Venus"" CD | CD",Atman,L'Assassi de Venus,CD,
"Atman ""Psy Atman"" CD | CD",Atman,Psy Atman,CD,
"Atomic ""Separate Races"" CD | CD",Atomic,Separate Races,CD,
"Atomic Roar ""Never Human Again"" CD | CD",Atomic Roar,Never Human Again,CD,
"Atomicide ""Atomic Genocide"" CD | CD",Atomicide,Atomic Genocide,CD,
"Atomicide ""Furious and Untamed"" Digipak CD | CD",Atomicide,Furious and Untamed,CD,
"Atomicide ""Spreading The Cult Of Death"" CD | CD",Atomicide,Spreading The Cult Of Death,CD,
"Atrocity ""To Be... Or Not To Be"" CD | CD",Atrocity,To Be... Or Not To Be,CD,
"Attacker Bloody Axe ""Antichristian Metal Axe"" CD | CD",Attacker Bloody Axe,Antichristian Metal Axe,CD,
"Aura Mortis ""Proclamation of the Sardonic Flame"" CD | CD",Aura Mortis,Proclamation of the Sardonic Flame,CD,
"Autophagy ""Bacteriophage"" CD | CD",Autophagy,Bacteriophage,CD,
"Avenger ""Bohemian Dark Metal"" Digipak CD | CD",Avenger,Bohemian Dark Metal,CD,
"Avenger ""Fall of Devotion, Wrath and Blasphemy"" CD | CD",Avenger,"Fall of Devotion, Wrath and Blasphemy",CD,
"Avenger ""Feast of Anger Joy of Despair"" CD | CD",Avenger,Feast of Anger Joy of Despair,CD,
"Avernal ""Avernal"" CD | CD",Avernal,Avernal,CD,
"Avernal ""Los Primeros SÍntomas Del Rigor De La Muerte"" CD | CD",Avernal,Los Primeros SÍntomas Del Rigor De La Muerte,CD,
"Avox ""Desolate Land"" CD | CD",Avox,Desolate Land,CD,
"Axewitch ""The Lord of Flies"" Digipak CD | CD",Axewitch,The Lord of Flies,CD,
"Azelsgard ""Confraternity of Lawlessness"" CD | CD",Azelsgard,Confraternity of Lawlessness,CD,
"Azziard ""Vesanie"" CD | CD",Azziard,Vesanie,CD,
"Bafomet ""Baptized by Goat Blood"" CD | CD",Bafomet,Baptized by Goat Blood,CD,
"Bafomet ""F.O.A.D.I.F."" CD | CD",Bafomet,F.O.A.D.I.F.,CD,
"Bahimiron / Teratism ""Pact in Dizease and Profanation"" Split CD | CD",Bahimiron / Teratism,Pact in Dizease and Profanation,CD,
"Balmog ""Necroangels' Revelations"" CD | CD",Balmog,Necroangels' Revelations,CD,
"Balmog ""Svmma Fide"" CD | CD",Balmog,Svmma Fide,CD,
"Bang ""Death of a Country"" Digipak CD | CD",Bang,Death of a Country,CD,
"Baphometh ""In the Beginning"" CD | CD",Baphometh,In the Beginning,CD,
"Barathrum ""Demo(no)s"" Double CD | CD",Barathrum,Demo(no)s,CD,
"Barathrum ""Devilry"" CD | CD",Barathrum,Devilry,CD,
"Barbatos ""Live! Eat Shit Vomit in Finland"" CD | CD",Barbatos,Live! Eat Shit Vomit in Finland,CD,
"Bards of Skaði ""Glysisvallur Musick From the Frozen Atlantis"" CD | CD",Bards of Skaði,Glysisvallur Musick From the Frozen Atlantis,CD,
"BASTARD GRAVE ""DIORAMA OF HUMAN SUFFERING"" CD | CD",Bastard Grave,Diorama Of Human Suffering,CD,
"Bastard Grave ""Vortex of Disgust"" CD | CD",Bastard Grave,Vortex of Disgust,CD,
"Bastard Grave ""What Lies Beyond"" CD | CD",Bastard Grave,What Lies Beyond,CD,
"Bastard Priest ""Vengeance... Of The Damned"" Digipak CD | CD",Bastard Priest,Vengeance... Of The Damned,CD,
"Bastardator ""Identify the Dead"" CD | CD",Bastardator,Identify the Dead,CD,
"Bastion ""Dawn of Swarog"" CD | CD",Bastion,Dawn of Swarog,CD,
"Bauda / Leuku ""Mares"" Split CD | CD",Bauda / Leuku,Mares,CD,
"Beastmaker ""Body and Soul"" Digipak CD | CD",Beastmaker,Body and Soul,CD,
"Behalf Fiend ""The Analogical Evil Sound Revives"" CD | CD",Behalf Fiend,The Analogical Evil Sound Revives,CD,
"Behemoth ""At The Arena Ov Aion"" Digipak CD | CD",Behemoth,At The Arena Ov Aion,CD,
"Behemoth ""Demigod"" Slipcase CD | CD",Behemoth,Demigod,CD,
"Behemoth ""Ezkaton"" Digipak CD | CD",Behemoth,Ezkaton,CD,
"Behemoth ""The Apostasy"" CD | CD",Behemoth,The Apostasy,CD,
"Beherit ""Drawing Down the Moon"" CD (NWN Press) | CD",Beherit,Drawing Down the Moon,CD,
"Beherit ""The Oath of Black Blood"" CD | CD",Beherit,The Oath of Black Blood,CD,
"Behrosth ""Ведьминъ Часъ"" CD (GoatowaRex) | CD",Behrosth,Ведьминъ Часъ,CD,
"Behrosth ""Оазис"" CD (GoatowaRex) | CD",Behrosth,Оазис,CD,
"Benediction ""Subconscious Terror"" CD | CD",Benediction,Subconscious Terror,CD,
"Bergraven ""Det Framlidna Minnet"" Digipak CD | CD",Bergraven,Det Framlidna Minnet,CD,
"Berserk ""Live From the Woods"" CD | CD",Berserk,Live From the Woods,CD,
"Berzabum ""The Compilation to the Infernorum"" CD (Demos '95-'97) | CD",Berzabum,The Compilation to the Infernorum,CD,
"Besatt ""Nine Sins"" CD | CD",Besatt,Nine Sins,CD,
"Bestial Devastator ""Until Death Occurs"" CD | CD",Bestial Devastator,Until Death Occurs,CD,
"Bewitched ""Atrocities In A-Minor"" CD | CD",Bewitched,Atrocities In A-Minor,CD,
"Bhleg ""Draumr Àst"" CD | CD",Bhleg,Draumr Àst,CD,
"Bhleg ""Fäghring"" CD | CD",Bhleg,Fäghring,CD,
"Bhleg ""Ödhin""  CD | CD",Bhleg,Ödhin,CD,
"Bhleg ""Solarmegin"" Double CD | CD",Bhleg,Solarmegin,CD,
"Black Cilice ""Atavistic Possessions"" MCD | CD",Black Cilice,Atavistic Possessions,CD,
"Black Draugwath ""The True Bottomless Armageddon"" CD | CD",Black Draugwath,The True Bottomless Armageddon,CD,
"Black Flame ""Imperivm"" CD | CD",Black Flame,Imperivm,CD,
"Black Goat ""Black Goat"" CD (Weakling Bassist) | CD",Black Goat,Black Goat,CD,
"Black Howling ""O Sangue a Terra"" CD | CD",Black Howling,O Sangue a Terra,CD,
"Black Howling ""Return Of Primordial Stillness"" Digipak CD | CD",Black Howling,Return Of Primordial Stillness,CD,
